	
  -312	  -312		  -329	  -329		  -335	  -335		  -331	  -331		  -318	  -318		  -298	  -298		  -272	  -272		   +14	   +14		
   +47	   +47		   +81	   +81		  +113	  +113		  -113	  -113		   -87	   -87		   -68	   -68		   -54	   -54		   -49	   -49		
   -50	   -50		   -60	   -60		   -78	   -78		  -102	  -102		  +124	  +124		   +89	   +89		   +50	   +50		   +10	   +10		
  -286	  -286		  -326	  -326		  -363	  -363		  -140	  -140		  -167	  -167		  -188	  -188		  -202	  -202		  -207	  -207		
  -206	  -206		  -196	  -196		  -179	  -179		  -157	  -157		  -129	  -129		  -353	  -353		  -320	  -320		  -286	  -286		
    +1	    +1		   +30	   +30		   +53	   +53		   +70	   +70		   +78	   +78		   +77	   +77		   +66	   +66		   +44	   +44		
   +12	   +12		  -286	  -286		  -339	  -339		  -145	  -145		  -213	  -213		  -543	  -543		  -620	  -620		  -442	  -442		
  -775	  -775		  -847	  -847		  -657	  -657		  -715	  -715		  -761	  -761		 -1051	 -1051		 -1070	 -1070		 -1074	 -1074		
 -1061	 -1061		 -1031	 -1031		  -729	  -729		  -666	  -666		  -845	  -845		  -498	  -498		  -396	  -396		  -540	  -540		
  -166	  -166		  -300	  -300		   +78	   +78		   -57	   -57		  +316	  +316		  +169	  +169		  +524	  +524		  +611	  +611		
  +429	  +429		  +487	  +487		  +785	  +785		  +810	  +810		  +819	  +819		  +811	  +811		  +787	  +787		  +494	  +494		
  +444	  +444		  +384	  +384		  +572	  +572		  +242	  +242		  +165	  +165		  +343	  +343		  +266	  +266		   -62	   -62		
  +127	  +127		   +68	   +68		   +18	   +18		  -278	  -278		  -307	  -307		  -326	  -326		  -334	  -334		  -333	  -333		
  -322	  -322		  -303	  -303		  -278	  -278		    +7	    +7		   +39	   +39		   +73	   +73		  +106	  +106		  -119	  -119		
   -93	   -93		   -71	   -71		   -57	   -57		   -49	   -49		   -49	   -49		   -57	   -57		   -73	   -73		   -96	   -96		
  -125	  -125		   +97	   +97		   +59	   +59		   +19	   +19		  -277	  -277		  -317	  -317		  -355	  -355		  -133	  -133		
  -161	  -161		  -184	  -184		  -199	  -199		  -207	  -207		  -207	  -207		  -199	  -199		  -184	  -184		  -162	  -162		
  -135	  -135		  -361	  -361		  -328	  -328		  -294	  -294		  -261	  -261		   +23	   +23		   +48	   +48		   +67	   +67		
   +77	   +77		   +78	   +78		   +69	   +69		   +50	   +50		   +20	   +20		  -276	  -276		  -326	  -326		  -130	  -130		
  -197	  -197		  -526	  -526		  -602	  -602		  -424	  -424		  -501	  -501		  -831	  -831		  -643	  -643		  -703	  -703		
  -752	  -752		 -1045	 -1045		 -1067	 -1067		 -1075	 -1075		 -1065	 -1065		 -1039	 -1039		  -741	  -741		  -682	  -682		
  -864	  -864		  -776	  -776		  -420	  -420		  -566	  -566		  -194	  -194		  -328	  -328		   +50	   +50		   -84	   -84		
  +290	  +290		  +145	  +145		  +247	  +247		  +593	  +593		  +414	  +414		  +475	  +475		  +777	  +777		  +806	  +806		
  +818	  +818		  +814	  +814		  +794	  +794		  +504	  +504		  +457	  +457		  +399	  +399		  +588	  +588		  +515	  +515		
  +182	  +182		  +360	  +360		  +283	  +283		   -46	   -46		  -114	  -114		   +81	   +81		   +28	   +28		  -269	  -269		
  -301	  -301		  -323	  -323		  -333	  -333		  -334	  -334		  -325	  -325		  -308	  -308		  -284	  -284		    +0	    +0		
   +32	   +32		   +65	   +65		   +99	   +99		  -126	  -126		   -98	   -98		   -76	   -76		   -59	   -59		   -50	   -50		
   -49	   -49		   -55	   -55		   -69	   -69		   -90	   -90		  -118	  -118		  +105	  +105		   +68	   +68		   +28	   +28		
  -268	  -268		  -308	  -308		  -347	  -347		  -381	  -381		  -155	  -155		  -179	  -179		  -196	  -196		  -206	  -206		
  -207	  -207		  -201	  -201		  -188	  -188		  -168	  -168		  -142	  -142		  -368	  -368		  -335	  -335		  -301	  -301		
  -268	  -268		   +17	   +17		   +43	   +43		   +63	   +63		   +75	   +75		   +79	   +79		   +72	   +72		   +55	   +55		
   +28	   +28		  -266	  -266		  -314	  -314		  -372	  -372		  -181	  -181		  -253	  -253		  -585	  -585		  -407	  -407		
  -484	  -484		  -815	  -815		  -884	  -884		  -690	  -690		  -742	  -742		 -1038	 -1038		 -1064	 -1064		 -1074	 -1074		
 -1069	 -1069		 -1047	 -1047		  -752	  -752		  -697	  -697		  -882	  -882		  -797	  -797		  -444	  -444		  -592	  -592		
